"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Henricus Gerardus Maria Hermans","Henricus Gerardus Maria Hermans","00563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Willem van Ravesteyn","Willem Ravesteyn","01086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Willem Theodore Gevers Deynoot ","Willem Theodore Gevers Deynoot","00455",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ernest Louis van Hardenbroek van Lockhorst ","Ernest Louis Hardenbroek van Lockhorst","00519",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Pieter Bredius ","Jan Pieter Bredius","00202",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harry Barge","Charles Augustus Henry Barge","00063",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victor Nyst","Matthëus Victor Nyst","00993",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johan Pieter Idus Buteux","Johan Pieter Idus Buteux","00242",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Willem Mutsaers","Wilhelmus Petrus Adrianus Mutsaers","00951",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"Gustave Louis Marie Hubert Ruijs de Beerenbrouck","Gustave Louis Marie Hubert Ruijs van Beerenbroek","01154",0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"Jan Loeff","Johannes Alouisius Loeff","00835",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
