gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
013714,000003,19940901,,I0003,VIACOMCBS INC,VIAC,92556H206,0000813828,4888
007343,000003,19940927,,I0003,MICRON TECHNOLOGY INC,MU,595112103,0000723125,3674
025279,000003,19950224,,I0003,BOSTON SCIENTIFIC CORP,BSX,101137107,0000885725,3845
001704,000003,19950316,,I0003,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559
002019,000003,19950331,,I0003,BANK OF NEW YORK MELLON CORP,BK,064058100,0001390777,6020
006781,000003,19950510,,I0003,LOEWS CORP,L,540424108,0000060086,6331
031846,000003,19950530,,I0003,DARDEN RESTAURANTS INC,DRI,237194105,0000940944,5812
028349,000003,19950713,,I0003,ALLSTATE CORP,ALL,020002101,0000899051,6331
014590,000003,19950731,,I0003,FREEPORT-MCMORAN INC,FCX,35671D857,0000831259,1000
012124,000003,19950922,,I0003,MORGAN STANLEY,MS,617446448,0000895421,6211
004611,000003,19951108,,I0003,MACY'S INC,M,55616P104,0000794367,5311
008455,000003,19951127,,I0003,PPL CORP,PPL,69351T106,0000922224,4911
003231,000003,19951201,,I0003,COMERICA INC,CMA,200340107,0000028412,6020
027914,000003,19951201,,I0003,HUMANA INC,HUM,444859102,0000049071,6324
061739,000003,19951220,,I0003,HARTFORD FINANCIAL SERVICES,HIG,416515104,0000874766,6331
004640,000003,19960308,,I0003,FIFTH THIRD BANCORP,FITB,316773100,0000035527,6020
003221,000003,19960423,,I0003,AON PLC,AON,G0408V102,0000315293,6411
010530,000003,19970102,,I0003,THERMO FISHER SCIENTIFIC INC,TMO,883556102,0000097745,3826
023809,000003,19970102,,I0003,AUTOZONE INC,AZO,053332102,0000866787,5531
012540,000003,19970506,,I0003,ADOBE INC,ADBE,00724F101,0000796343,7370
002751,000003,19970527,,I0003,CARDINAL HEALTH INC,CAH,14149Y108,0000721371,5122
013988,000003,19970602,,I0003,SCHWAB (CHARLES) CORP,SCHW,808513105,0000316709,6282
004423,000003,19970619,,I0003,EQUIFAX INC,EFX,294429105,0000033185,7323
001678,000003,19970728,,I0003,APACHE CORP,APA,037411105,0000006769,1311
013341,000003,19970804,,I0003,PROGRESSIVE CORP-OHIO,PGR,743315103,0000080661,6331
005786,000003,19970806,,I0003,HUNTINGTON BANCSHARES,HBAN,446150104,0000049196,6020
010035,000003,19970818,,I0003,STATE STREET CORP,STT,857477103,0000093751,6020
006304,000003,19970915,,I0003,KLA CORP,KLAC,482480100,0000319201,3827
065417,000003,19971007,,I0003,YUM BRANDS INC,YUM,988498101,0001041061,5812
011856,000003,19971204,,I0003,TRUIST FINANCIAL CORP,TFC,89832Q109,0000092230,6020
014824,000003,19971218,,I0003,CINCINNATI FINANCIAL CORP,CINF,172062101,0000020286,6331
004066,000003,19971224,,I0003,OMNICOM GROUP,OMC,681919106,0000029989,7311
007982,000003,19980130,,I0003,NORTHERN TRUST CORP,NTRS,665859104,0000073124,6020
009555,000003,19980401,,I0003,SEALED AIR CORP,SEE,81211K100,0001012100,3081
004885,000003,19980429,,I0003,FRANKLIN RESOURCES INC,BEN,354613101,0000038777,6282
028930,000003,19980521,,I0003,MARRIOTT INTL INC,MAR,571903202,0001048286,7011
030990,000003,19980701,,I0003,CAPITAL ONE FINANCIAL CORP,COF,14040H105,0000927628,6141
014477,000003,19980717,,I0003,WASTE MANAGEMENT INC,WM,94106L109,0000823768,4953
025283,000003,19980814,,I0003,KOHL'S CORP,KSS,500255104,0000885639,5311
