 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
RL        Market-Adjusted Model            .        .        .     
AKAM      Market-Adjusted Model            .        .        .     
UTX       Market-Adjusted Model            .        .        .     
HOLX      Market-Adjusted Model            .        .        .     
VRSK      Market-Adjusted Model            .        .        .     
LLY       Market-Adjusted Model            .        .        .     
PNW       Market-Adjusted Model            .        .        .     
KO        Market-Adjusted Model            .        .        .     
PWR       Market-Adjusted Model            .        .        .     
DVN       Market-Adjusted Model            .        .        .     
CPB       Market-Adjusted Model            .        .        .     
MAR       Market-Adjusted Model            .        .        .     
ROP       Market-Adjusted Model            .        .        .     
EBAY      Market-Adjusted Model            .        .        .     
COO       Market-Adjusted Model            .        .        .     
CVX       Market-Adjusted Model            .        .        .     
AIZ       Market-Adjusted Model            .        .        .     
V         Market-Adjusted Model            .        .        .     
TTWO      Market-Adjusted Model            .        .        .     
HFC       Market-Adjusted Model            .        .        .     
LHX       Market-Adjusted Model            .        .        .     
PNC       Market-Adjusted Model            .        .        .     
URI       Market-Adjusted Model            .        .        .     
ANSS      Market-Adjusted Model            .        .        .     
ORLY      Market-Adjusted Model            .        .        .     
A         Market-Adjusted Model            .        .        .     
AEP       Market-Adjusted Model            .        .        .     
STE       Market-Adjusted Model            .        .        .     
LNT       Market-Adjusted Model            .        .        .     
CPRT      Market-Adjusted Model            .        .        .     
CL        Market-Adjusted Model            .        .        .     
DG        Market-Adjusted Model            .        .        .     
SPGI      Market-Adjusted Model            .        .        .     
GE        Market-Adjusted Model            .        .        .     
SPG       Market-Adjusted Model            .        .        .     
NVDA      Market-Adjusted Model            .        .        .     
HBI       Market-Adjusted Model            .        .        .     
APTV      Market-Adjusted Model            .        .        .     
MPC       Market-Adjusted Model            .        .        .     
IFF       Market-Adjusted Model            .        .        .     
AAP       Market-Adjusted Model            .        .        .     
DOV       Market-Adjusted Model            .        .        .     
KIM       Market-Adjusted Model            .        .        .     
UDR       Market-Adjusted Model            .        .        .     
MAS       Market-Adjusted Model            .        .        .     
ADM       Market-Adjusted Model            .        .        .     
MMC       Market-Adjusted Model            .        .        .     
BLK       Market-Adjusted Model            .        .        .     
BIIB      Market-Adjusted Model            .        .        .     
EL        Market-Adjusted Model            .        .        .     
AMGN      Market-Adjusted Model            .        .        .     
TMO       Market-Adjusted Model            .        .        .     
WU        Market-Adjusted Model            .        .        .     
KHC       Market-Adjusted Model            .        .        .     
COG       Market-Adjusted Model            .        .        .     
MS        Market-Adjusted Model            .        .        .     
SWK       Market-Adjusted Model            .        .        .     
WFC       Market-Adjusted Model            .        .        .     
CI        Market-Adjusted Model            .        .        .     
PEG       Market-Adjusted Model            .        .        .     
ALXN      Market-Adjusted Model            .        .        .     
LYB       Market-Adjusted Model            .        .        .     
STZ       Market-Adjusted Model            .        .        .     
MRO       Market-Adjusted Model            .        .        .     
AVY       Market-Adjusted Model            .        .        .     
CNP       Market-Adjusted Model            .        .        .     
WEC       Market-Adjusted Model            .        .        .     
ABC       Market-Adjusted Model            .        .        .     
RCL       Market-Adjusted Model            .        .        .     
CNC       Market-Adjusted Model            .        .        .     
FE        Market-Adjusted Model            .        .        .     
CDNS      Market-Adjusted Model            .        .        .     
PH        Market-Adjusted Model            .        .        .     
SHW       Market-Adjusted Model            .        .        .     
PRU       Market-Adjusted Model            .        .        .     
ANTM      Market-Adjusted Model            .        .        .     
PPG       Market-Adjusted Model            .        .        .     
WRB       Market-Adjusted Model            .        .        .     
